NOV_ISSUED_DATE,NOV_NUMBER,STREET_NO,DIR,STREET_NME,VIOLATION_DESCRIPTION
3/16/2019,P005667614,1100,W,ADDISON,8-4-081(a)     Public Urination
3/16/2019,P005667615,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667616,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667617,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667618,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667619,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667620,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667621,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005667622,3500,N,CLARK,8-4-081(a)     Public Urination
3/16/2019,P005667623,3500,N,SEMINARY,8-4-081(a)     Public Urination
3/16/2019,P005621086,6800,S,ASHLAND,8-4-081(a)     Public Urination
3/16/2019,P005704799,10,W,CHICAGO,8-4-081(a)     Public Urination
3/16/2019,P005916841,3400,N,HALSTED,8-4-081(a)     Public Urination
3/16/2019,P005916978,1000,W,CORNELIA,8-4-081(a)     Public Urination
3/16/2019,P005913184,10,W,LAKE ST,8-4-081(a)     Public Urination
3/16/2019,P005916391,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005916394,3500,N,CLARK,8-4-081(a)     Public Urination
3/16/2019,P005909354,1100,W,EDDY ST,8-4-081(a)     Public Urination
3/16/2019,P005909355,1100,W,EDDY,8-4-081(a)     Public Urination
3/16/2019,P005916409,3500,N,CLARK ST,8-4-081(a)     Public Urination
3/17/2019,P004856357,1900,N,FARWELL,8-4-081(a)     Public Urination
3/17/2019,P005271408,3900,W,WILCOX,8-4-081(a)     Public Urination
3/17/2019,P005409072,5100,S,WENTWORTH,8-4-081(a)     Public Urination
3/17/2019,P005574078,700,W,MELROSE ST,8-4-081(a)     Public Urination
3/17/2019,P005668891,4400,N,BROADWAY,8-4-081(a)     Public Urination
3/17/2019,P005690921,1000,W,NEWPORT,8-4-081(a)     Public Urination
3/17/2019,P005652975,2700,N,KENTON,8-4-081(a)     Public Urination
3/17/2019,P005633500,8300,S,ASHLAND,8-4-081(a)     Public Urination
3/17/2019,P005721446,3900,W,ROOSEVELT,8-4-081(a)     Public Urination
3/17/2019,P005721447,3900,W,ROOSEVELT RD,8-4-081(a)     Public Urination
3/17/2019,P005724528,800,E,79TH ST,8-4-081(a)     Public Urination
3/17/2019,P005724530,500,E,79TH ST,8-4-081(a)     Public Urination
3/17/2019,P005731888,3600,N,CHICAGO,8-4-081(a)     Public Urination
3/17/2019,P005725156,7700,S,RACINE,8-4-081(a)     Public Urination
3/17/2019,P005796534,5000,S,CALIFORNIA,8-4-081(a)     Public Urination
3/18/2019,P005271409,4000,W,GLADYS,8-4-081(a)     Public Urination
3/18/2019,P005485582,9100,S,ASHLAND,8-4-081(a)     Public Urination
3/18/2019,P005633734,1500,W,69TH ST,8-4-081(a)     Public Urination
3/18/2019,P005639279,4100,W,31ST,8-4-081(a)     Public Urination
3/18/2019,P005633030,6300,S,ASHLAND,8-4-081(a)     Public Urination
3/18/2019,P005642056,3900,W,ROOSEVELT RD,8-4-081(a)     Public Urination
3/18/2019,P005641275,1100,S,TROY ST,8-4-081(a)     Public Urination
3/18/2019,P005719601,7700,W,DIVISION,8-4-081(a)     Public Urination
3/18/2019,P005615350,1900,S,MORGAN,8-4-081(a)     Public Urination
3/18/2019,P005913708,10,E,ADAMS ST,8-4-081(a)     Public Urination
3/19/2019,P005331793,1600,W,DEVON,8-4-081(a)     Public Urination
3/19/2019,P005408599,3400,S,PRAIRIE,8-4-081(a)     Public Urination
3/19/2019,P005498941,3600,W,FULLERTON,8-4-081(a)     Public Urination
3/19/2019,P005456217,48000,W,ADAMS ST,8-4-081(a)     Public Urination
3/19/2019,P005641276,1500,S,CHRISTIANA,8-4-081(a)     Public Urination
3/19/2019,P005793787,6300,S,WESTERN,8-4-081(a)     Public Urination
3/20/2019,P005332394,2000,W,NORTH,8-4-081(a)     Public Urination
3/20/2019,P005506328,700,N,MICHIGAN,8-4-081(a)     Public Urination
3/20/2019,P005464341,300,N,CENTRAL,8-4-081(a)     Public Urination
3/20/2019,P005567431,4600,S,KING DR,8-4-081(a)     Public Urination
3/20/2019,P005516858,10,E,LAKE ST,8-4-081(a)     Public Urination
3/20/2019,P005678893,800,N,FRANKLIN,8-4-081(a)     Public Urination
3/20/2019,P005610531,4800,W,GLADYS,8-4-081(a)     Public Urination
3/20/2019,P005670879,400,S,DAMEN,8-4-081(a)     Public Urination
3/20/2019,P005640517,3700,W,16TH,8-4-081(a)     Public Urination
3/20/2019,P005913785,10,E,CULLERTON,8-4-081(a)     Public Urination
3/20/2019,P005803840,10,W,95TH ST,8-4-081(a)     Public Urination
3/20/2019,P005793951,5200,S,LOCKWOOD,8-4-081(a)     Public Urination
3/21/2019,P005186987,1100,N,DAMEN,8-4-081(a)     Public Urination
3/21/2019,P005466432,5300,W,CHICAGO,8-4-081(a)     Public Urination
3/21/2019,P005464859,300,N,CENTRAL,8-4-081(a)     Public Urination
3/21/2019,P005456188,3900,W,MONROE,8-4-081(a)     Public Urination
3/21/2019,P005699681,6300,S,SEELEY,8-4-081(a)     Public Urination
3/21/2019,P005681488,2900,W,WASHINGTON,8-4-081(a)     Public Urination
3/21/2019,P005642582,4300,S,CERMAK,8-4-081(a)     Public Urination
3/21/2019,P005642217,3900,W,ROOSEVELT RD,8-4-081(a)     Public Urination
3/21/2019,P005718510,1300,N,CALIFORNIA,8-4-081(a)     Public Urination
3/21/2019,P005725116,100,W,63RD ST,8-4-081(a)     Public Urination
3/21/2019,P005725264,7900,S,MARSHFIELD,8-4-081(a)     Public Urination
3/21/2019,P005621059,7400,S,LOWE,8-4-081(a)     Public Urination
3/21/2019,P005793915,7100,S,WESTERN,8-4-081(a)     Public Urination
3/21/2019,P005793916,6900,S,ARTESIAN,8-4-081(a)     Public Urination
3/21/2019,P005770192,11300,S,ABERDEEN,8-4-081(a)     Public Urination
3/21/2019,P005909594,3400,N,CLARK ST,8-4-081(a)     Public Urination
3/21/2019,P005917131,4400,N,BROADWAY,8-4-081(a)     Public Urination
3/21/2019,P005918614,500,N,STATE ST,8-4-081(a)     Public Urination
3/22/2019,P005492705,2000,N,PARKSIDE,8-4-081(a)     Public Urination
3/22/2019,P005492706,2000,N,PARKSIDE,8-4-081(a)     Public Urination
3/22/2019,P005493935,100,S,CICERO,8-4-081(a)     Public Urination
3/22/2019,P005391146,6200,S,WESTERN,8-4-081(a)     Public Urination
3/22/2019,P005575315,7500,N,MARSHFIELD,8-4-081(a)     Public Urination
3/22/2019,P005686407,6300,S,VERNON ST,8-4-081(a)     Public Urination
3/22/2019,P005699682,6300,S,ASHLAND,8-4-081(a)     Public Urination
3/22/2019,P005614618,10,E,LAKE ST,8-4-081(a)     Public Urination
3/22/2019,P005677514,1300,N,HUDSON,8-4-081(a)     Public Urination
3/22/2019,P005651310,1500,W,HOWARD,8-4-081(a)     Public Urination
3/22/2019,P005610555,10,N,LOREL,8-4-081(a)     Public Urination
3/22/2019,P005621060,1500,W,63RD ST,8-4-081(a)     Public Urination
3/22/2019,P005812026,6900,S,WESTERN,8-4-081(a)     Public Urination
3/23/2019,P005139159,2000,W,NORTH,8-4-081(a)     Public Urination
3/23/2019,P005331977,2000,W,NORTH,8-4-081(a)     Public Urination
3/23/2019,P005501308,5600,W,NORTH,8-4-081(a)     Public Urination
3/23/2019,P005493936,4800,W,GLADYS,8-4-081(a)     Public Urination
3/23/2019,P005566153,500,N,STATE ST,8-4-081(a)     Public Urination
3/23/2019,P005476470,7900,S,HALSTED ST,8-4-081(a)     Public Urination
3/23/2019,P005551945,2800,S,KEDZIE,8-4-081(a)     Public Urination
3/23/2019,P005682072,200,N,LAFLIN,8-4-081(a)     Public Urination
3/23/2019,P005699683,7000,S,HALSTED ST,8-4-081(a)     Public Urination
3/23/2019,P005699684,7400,S,HALSTED,8-4-081(a)     Public Urination
3/23/2019,P005678699,1800,N,CLARK,8-4-081(a)     Public Urination
3/23/2019,P005686455,6200,S,KING DR,8-4-081(a)     Public Urination
3/23/2019,P005641589,1600,S,LAWNDALE,8-4-081(a)     Public Urination
3/23/2019,P005640369,3800,W,ROOSEVELT,8-4-081(a)     Public Urination
3/23/2019,P005726595,9000,S,ASHLAND,8-4-081(a)     Public Urination
3/23/2019,P005724532,600,W,119TH ST,8-4-081(a)     Public Urination
3/23/2019,P005732173,300,S,CICERO,8-4-081(a)     Public Urination
3/23/2019,P005732174,3900,W,MADISON,8-4-081(a)     Public Urination
3/23/2019,P005701726,10,W,95TH,8-4-081(a)     Public Urination
3/23/2019,P005724885,7900,S,MARSHFIELD AVE,8-4-081(a)     Public Urination
3/23/2019,P005613057,300,E,51ST ST,8-4-081(a)     Public Urination
3/23/2019,P005793788,6100,S,KEDZIE,8-4-081(a)     Public Urination
3/23/2019,P005711561,4600,N,PULASKI,8-4-081(a)     Public Urination
3/23/2019,P005911435,7800,S,YATES,8-4-081(a)     Public Urination
3/24/2019,P005482218,8700,S,PEORIA,8-4-081(a)     Public Urination
3/24/2019,P005450507,5100,W,AUGUSTA,8-4-081(a)     Public Urination
3/24/2019,P005570420,10,E,57TH ST,8-4-081(a)     Public Urination
3/24/2019,P005638229,1200,S,HOMAN,8-4-081(a)     Public Urination
3/24/2019,P005668806,3300,N,CLARK ST,8-4-081(a)     Public Urination
3/24/2019,P005678247,10,W,HUBBARD,8-4-081(a)     Public Urination
3/24/2019,P005685809,1900,E,71ST ST,8-4-081(a)     Public Urination
3/24/2019,P005653361,1200,N,SPRINGFIELD,8-4-081(a)     Public Urination
3/24/2019,P005652581,5100,W,NELSON ST,8-4-081(a)     Public Urination
3/24/2019,P005726749,10600,S,HALSTED,8-4-081(a)     Public Urination
3/24/2019,P005722151,5300,S,KEDZIE,8-4-081(a)     Public Urination
3/24/2019,P005610656,5600,W,MADISON ST,8-4-081(a)     Public Urination
3/24/2019,P005619626,500,W,HARRISON ST,8-4-081(a)     Public Urination
3/24/2019,P005914297,200,E,RANDOLPH,8-4-081(a)     Public Urination
3/24/2019,P005794228,4700,S,CICERO,8-4-081(a)     Public Urination
3/25/2019,P004955139,5500,N,HARLEM,8-4-081(a)     Public Urination
3/25/2019,P005510574,5300,N,KENMORE,8-4-081(a)     Public Urination
3/25/2019,P005515707,400,S,DEARBONR ST,8-4-081(a)     Public Urination
3/25/2019,P005650331,3600,N,CICERO,8-4-081(a)     Public Urination
3/25/2019,P005725276,6800,S,HALSTED,8-4-081(a)     Public Urination
3/25/2019,P005784907,1400,N,WOOD ST,8-4-081(a)     Public Urination
3/25/2019,P005776341,10,W,190,8-4-081(a)     Public Urination
3/26/2019,P005490128,2400,N,LINCOLN,8-4-081(a)     Public Urination
3/26/2019,P005488514,900,W,BELMONT,8-4-081(a)     Public Urination
3/26/2019,P005460965,2000,W,FULLERTON,8-4-081(a)     Public Urination
3/26/2019,P005548802,1800,W,63RD ST,8-4-081(a)     Public Urination
3/26/2019,P005651813,2200,W,GRANVILLE,8-4-081(a)     Public Urination
3/26/2019,P005615595,1500,W,18TH ST,8-4-081(a)     Public Urination
3/26/2019,P005643327,3600,W,16TH ST,8-4-081(a)     Public Urination
3/26/2019,P005720336,3400,W,LEXINGTON,8-4-081(a)     Public Urination
3/26/2019,P005725117,8000,S,COTTAGE GROVE,8-4-081(a)     Public Urination
3/26/2019,P005621062,800,W,54TH PL,8-4-081(a)     Public Urination
3/26/2019,P005793919,7100,S,WESTERN,8-4-081(a)     Public Urination
3/26/2019,P005794126,7100,S,WESTERN,8-4-081(a)     Public Urination
3/26/2019,P005794127,7000,S,WESTERN,8-4-081(a)     Public Urination
3/26/2019,P005800546,7100,S,STATE,8-4-081(a)     Public Urination
3/26/2019,P005920322,400,E,63RD ST,8-4-081(a)     Public Urination
3/26/2019,P005911840,2600,E,75TH ST,8-4-081(a)     Public Urination
3/26/2019,P005911843,2600,E,75TH ST,8-4-081(a)     Public Urination
3/27/2019,P005329022,10,E,PERSHING RD,8-4-081(a)     Public Urination
3/27/2019,P005481958,300,S,STATE ST,8-4-081(a)     Public Urination
3/27/2019,P005482140,9500,S,HALSTED,8-4-081(a)     Public Urination
3/27/2019,P005724505,7800,S,COTTAGE GROVE,8-4-081(a)     Public Urination
3/27/2019,P005724557,9500,S,HALSTED,8-4-081(a)     Public Urination
3/27/2019,P005787347,2400,W,71ST ST,8-4-081(a)     Public Urination
3/27/2019,P005702067,11500,S,HALSTED ST,8-4-081(a)     Public Urination
3/27/2019,P005725044,6200,S,ASHLAND,8-4-081(a)     Public Urination
3/27/2019,P005725120,7800,S,ELLIS AV,8-4-081(a)     Public Urination
3/27/2019,P005725267,7900,S,ASHLAND,8-4-081(a)     Public Urination
3/27/2019,P005708047,4000,W,LAWRENCE,8-4-081(a)     Public Urination
3/27/2019,P005708048,4000,W,LAWRENCE,8-4-081(a)     Public Urination
3/27/2019,P005914898,100,N,STATE ST,8-4-081(a)     Public Urination
3/27/2019,P005811486,7000,S,ARTESIAN,8-4-081(a)     Public Urination
3/27/2019,P005793537,6900,S,WESTERN,8-4-081(a)     Public Urination
3/28/2019,P005335966,5700,W,GRACE ST,8-4-081(a)     Public Urination
3/28/2019,P005484734,11100,S,STATE ST,8-4-081(a)     Public Urination
3/28/2019,P005492235,900,W,BELMONT,8-4-081(a)     Public Urination
3/28/2019,P005513677,300,N,CENTRAL,8-4-081(a)     Public Urination
3/28/2019,P005642584,1600,S,KEDZIE,8-4-081(a)     Public Urination
3/28/2019,P005643176,1200,S,AVERS,8-4-081(a)     Public Urination
3/28/2019,P005718479,2300,W,NORTH,8-4-081(a)     Public Urination
3/28/2019,P005727512,200,S,STATE ST,8-4-081(a)     Public Urination
3/28/2019,P005669568,3800,N,LAKESHORE DR,8-4-081(a)     Public Urination
3/28/2019,P005620873,6100,S,PAULINA ST,8-4-081(a)     Public Urination
3/28/2019,P005614454,5200,W,LAKE ST,8-4-081(a)     Public Urination
3/28/2019,P005711935,10,W,95TH ST,8-4-081(a)     Public Urination
3/28/2019,P005908919,700,W,BUCKINGHAM,8-4-081(a)     Public Urination
3/28/2019,P005799807,6700,S,JEFFERYD,8-4-081(a)     Public Urination
3/29/2019,P005483329,11100,S,HALSTED,8-4-081(a)     Public Urination
3/29/2019,P005456189,4000,W,GLADYS,8-4-081(a)     Public Urination
3/29/2019,P005551364,3300,W,16TH ST,8-4-081(a)     Public Urination
3/29/2019,P005575247,6800,N,WESTERN,8-4-081(a)     Public Urination
3/29/2019,P005669957,500,N,GRAND,8-4-081(a)     Public Urination
3/29/2019,P005669958,500,N,GRAND,8-4-081(a)     Public Urination
3/29/2019,P005642001,3900,W,26TH ST,8-4-081(a)     Public Urination
3/29/2019,P005726596,2400,W,103RD ST,8-4-081(a)     Public Urination
3/29/2019,P005732176,300,S,PULASKI,8-4-081(a)     Public Urination
3/29/2019,P005720337,10,S,CICERO,8-4-081(a)     Public Urination
3/29/2019,P005804462,10,E,ROOSEVELT,8-4-081(a)     Public Urination
3/29/2019,P005919162,100,E,LOWER WATER,8-4-081(a)     Public Urination
3/30/2019,P005497547,2100,N,MANGO,8-4-081(a)     Public Urination
3/30/2019,P005554484,3800,W,ROOSEVELT,8-4-081(a)     Public Urination
3/30/2019,P005473543,3000,W,MADISON,8-4-081(a)     Public Urination
3/30/2019,P005677759,10,W,ILLINOIS ST,8-4-081(a)     Public Urination
3/30/2019,P005652145,1600,N,MASSASOIT,8-4-081(a)     Public Urination
3/30/2019,P005787839,6200,S,ARTESIAN,8-4-081(a)     Public Urination
3/30/2019,P005726750,9100,S,ASHLAND,8-4-081(a)     Public Urination
3/30/2019,P005732177,300,S,PULASKI,8-4-081(a)     Public Urination
3/30/2019,P005749611,3000,W,REDFIELD,8-4-081(a)     Public Urination
3/30/2019,P005751053,6200,S,DAMEN,8-4-081(a)     Public Urination
3/30/2019,P005770701,1200,W,63RD ST,8-4-081(a)     Public Urination
3/30/2019,P005703935,10,W,ILLINOIS,8-4-081(a)     Public Urination
3/30/2019,P005919260,7100,S,ST LAWRENCE ST,8-4-081(a)     Public Urination
3/30/2019,P005811984,5500,S,ROCKWELL ST,8-4-081(a)     Public Urination
3/30/2019,P005793449,2400,W,63RD ST,8-4-081(a)     Public Urination
3/31/2019,P005490681,4600,N,BROADWAY,8-4-081(a)     Public Urination
3/31/2019,P005473660,3200,W,LAKE,8-4-081(a)     Public Urination
3/31/2019,P005652711,1500,N,LAVERGNE,8-4-081(a)     Public Urination
3/31/2019,P005642891,1500,S,HOMAN,8-4-081(a)     Public Urination
3/31/2019,P005721451,4500,W,MONROE,8-4-081(a)     Public Urination
3/31/2019,P005721452,4100,W,MADISON,8-4-081(a)     Public Urination
3/31/2019,P005725269,2000,W,79TH ST,8-4-081(a)     Public Urination
3/31/2019,P005609786,6600,S,COTTAGE,8-4-081(a)     Public Urination
3/31/2019,P005749794,7200,S,ROCKWELL ST,8-4-081(a)     Public Urination
3/31/2019,P005770736,6000,S,LAFLIN ST,8-4-081(a)     Public Urination
3/31/2019,P005914128,100,W,LOWER WACKER,8-4-081(a)     Public Urination
3/31/2019,P005914660,3800,W,MADISON,8-4-081(a)     Public Urination
4/1/2019,P005483691,8900,S,JUSTINE,8-4-081(a)     Public Urination
4/1/2019,P005468973,10,S,PULASKI RD,8-4-081(a)     Public Urination
4/1/2019,P005534431,4900,N,MILWAUKEE,8-4-081(a)     Public Urination
4/1/2019,P005669350,4500,N,SHERIDAN RD,8-4-081(a)     Public Urination
4/1/2019,P005668472,800,N,STATE,8-4-081(a)     Public Urination
4/1/2019,P005637001,1600,W,72ND ST,8-4-081(a)     Public Urination
4/1/2019,P005642892,1400,S,KARLOV,8-4-081(a)     Public Urination
4/1/2019,P005642906,3700,W,ROOSEVELT,8-4-081(a)     Public Urination
4/1/2019,P005641725,3800,W,ROOSEVELT RD,8-4-081(a)     Public Urination
4/1/2019,P005726758,8700,S,VINCENESS,8-4-081(a)     Public Urination
4/1/2019,P005701971,100,W,103RD ST,8-4-081(a)     Public Urination
4/1/2019,P005615293,2300,W,MADISON,8-4-081(a)     Public Urination
4/1/2019,P005811488,2400,W,63RD ST,8-4-081(a)     Public Urination
4/2/2019,P005147054,6200,S,KING DR,8-4-081(a)     Public Urination
4/2/2019,P005481434,7900,S,HALSTED,8-4-081(a)     Public Urination
4/2/2019,P005483692,11000,S,LONGWOOD DR,8-4-081(a)     Public Urination
4/2/2019,P005485584,10600,S,HALSTED ST,8-4-081(a)     Public Urination
4/2/2019,P005468974,4000,W,LAKE ST,8-4-081(a)     Public Urination
4/2/2019,P005787843,7000,S,ARTESIAN,8-4-081(a)     Public Urination
4/2/2019,P005731991,10,S,PULASKI,8-4-081(a)     Public Urination
4/2/2019,P005725000,11000,S,MICHIGAN,8-4-081(a)     Public Urination
4/2/2019,P005701393,9500,S,WENTWORTH,8-4-081(a)     Public Urination
4/2/2019,P005703519,10,E,HUBBARD,8-4-081(a)     Public Urination
4/2/2019,P005703520,10,W,GRAND,8-4-081(a)     Public Urination
4/2/2019,P005725270,5500,S,JUSTINE ST,8-4-081(a)     Public Urination
4/2/2019,P005604840,6200,S,WHIPPLE ST,8-4-081(a)     Public Urination
4/2/2019,P005770179,2600,E,75TH ST,8-4-081(a)     Public Urination
4/2/2019,P005915021,200,N,POST,8-4-081(a)     Public Urination
4/2/2019,P005922151,10,E,HUBBARD ST,8-4-081(a)     Public Urination
4/3/2019,P005183013,600,E,67TH ST,8-4-081(a)     Public Urination
4/3/2019,P005469440,700,N,LAWNDALE,8-4-081(a)     Public Urination
4/3/2019,P005699431,6300,S,ASHLAND,8-4-081(a)     Public Urination
4/3/2019,P005642846,43500,W,19TH ST,8-4-081(a)     Public Urination
4/3/2019,P005642966,1200,S,KEDVALE,8-4-081(a)     Public Urination
4/3/2019,P005642967,1200,S,CENTRAL PARK,8-4-081(a)     Public Urination
4/3/2019,P005633559,7100,S,HALSTED ST,8-4-081(a)     Public Urination
4/3/2019,P005726751,9300,S,ASHLAND,8-4-081(a)     Public Urination
4/3/2019,P005727746,10,E,JACKSON BL,8-4-081(a)     Public Urination
4/3/2019,P005765561,5000,N,WINTHROP,8-4-081(a)     Public Urination
4/3/2019,P005770596,7100,S,LOOMIS,8-4-081(a)     Public Urination
4/3/2019,P005812038,6900,S,ROCKWELL,8-4-081(a)     Public Urination
4/3/2019,P005916179,4600,N,MALDEN,8-4-081(a)     Public Urination
4/3/2019,P005804841,300,S,STATE,"10-8-526/016-110-1.17  Urinating, Defecating or Causing the"
4/4/2019,P005493828,5300,W,DIVISION,8-4-081(a)     Public Urination
4/4/2019,P005463739,5900,W,MADISON,8-4-081(a)     Public Urination
4/4/2019,P005540055,200,W,103RD ST,8-4-081(a)     Public Urination
4/4/2019,P005699693,5500,S,ASHLAND,8-4-081(a)     Public Urination
4/4/2019,P005641277,3000,W,27TH ST,8-4-081(a)     Public Urination
4/4/2019,P005732519,3400,W,HARRISON,8-4-081(a)     Public Urination
4/4/2019,P005724594,1200,W,63RD,8-4-081(a)     Public Urination
4/4/2019,P005711200,3100,W,IRVING PARK,8-4-081(a)     Public Urination
4/4/2019,P005757551,400,E,SOLIDARITY,8-4-081(a)     Public Urination
4/4/2019,P005811986,6700,S,CLAREMONT,8-4-081(a)     Public Urination
4/4/2019,P005795746,1800,W,HOWARD,8-4-081(a)     Public Urination
4/4/2019,P005918621,3800,W,ROOSEVELT,8-4-081(a)     Public Urination
4/5/2019,P005271061,3900,W,DIVISION,8-4-081(a)     Public Urination
4/5/2019,P005464342,10,S,CICERO,8-4-081(a)     Public Urination
4/5/2019,P005463740,5700,W,MADISON,8-4-081(a)     Public Urination
4/5/2019,P005615989,3100,W,MAYPOLE,8-4-081(a)     Public Urination
4/5/2019,P005675002,300,E,47TH,8-4-081(a)     Public Urination
4/5/2019,P005675622,4600,S,KING DR,8-4-081(a)     Public Urination
4/5/2019,P005678347,10,W,CHICAGO,8-4-081(a)     Public Urination
4/5/2019,P005615721,100,N,SANGAMON ST,8-4-081(a)     Public Urination
4/5/2019,P005680862,1500,N,SEDGWICK,8-4-081(a)     Public Urination
4/5/2019,P005661402,3700,W,CHICAGO,8-4-081(a)     Public Urination
4/5/2019,P005653467,3800,W,NORTH,8-4-081(a)     Public Urination
4/5/2019,P005674465,1500,W,63RD ST,8-4-081(a)     Public Urination
4/5/2019,P005670037,200,S,STATE ST,8-4-081(a)     Public Urination
4/5/2019,P005726753,9400,S,ASHLAND,8-4-081(a)     Public Urination
4/5/2019,P005725220,7400,S,STEWART,8-4-081(a)     Public Urination
4/5/2019,P005765349,1100,W,LAWRENCE,8-4-081(a)     Public Urination
4/5/2019,P005770165,11100,S,KING DR,8-4-081(a)     Public Urination
4/5/2019,P005803796,10,W,95TH ST,8-4-081(a)     Public Urination
4/5/2019,P005796998,4300,S,KEDZIE,8-4-081(a)     Public Urination
4/5/2019,P005796999,4300,S,KEDZIE,8-4-081(a)     Public Urination
4/5/2019,P005799742,6700,S,INDIANA ST,8-4-081(a)     Public Urination
4/5/2019,P005911846,3600,E,106TH ST,8-4-081(a)     Public Urination
4/6/2019,P005461084,300,N,LARAMIE,8-4-081(a)     Public Urination
4/6/2019,P005451062,4800,W,CHICAGO,8-4-081(a)     Public Urination
4/6/2019,P005464343,200,S,CICERO,8-4-081(a)     Public Urination
4/6/2019,P005480925,7500,S,SANGAMON,8-4-081(a)     Public Urination
4/6/2019,P005690385,6500,S,WASHTENAW,8-4-081(a)     Public Urination
4/6/2019,P005677276,10,E,KINZIE,8-4-081(a)     Public Urination
4/6/2019,P005668066,4400,N,BROADWAY,8-4-081(a)     Public Urination
4/6/2019,P005668455,3400,N,HALSTED,8-4-081(a)     Public Urination
4/6/2019,P005658028,3200,S,ASHLAND,8-4-081(a)     Public Urination
4/6/2019,P005653469,1900,N,PULASKI,8-4-081(a)     Public Urination
4/6/2019,P005642002,1200,S,AVERS,8-4-081(a)     Public Urination
4/6/2019,P005652785,800,N,SPAULDING,8-4-081(a)     Public Urination
4/6/2019,P005652786,800,N,AVERS,8-4-081(a)     Public Urination
4/6/2019,P005641007,1100,S,INDEPENDENCE,8-4-081(a)     Public Urination
4/6/2019,P005642908,2800,W,ROOSEVELT,8-4-081(a)     Public Urination
4/6/2019,P005739818,5500,N,BROADWAY,8-4-081(a)     Public Urination
4/6/2019,P005787935,5000,S,LACROSSE,8-4-081(a)     Public Urination
4/6/2019,P005725280,7300,S,ABERDEEN,8-4-081(a)     Public Urination
4/6/2019,P005770600,800,W,66TH ST,8-4-081(a)     Public Urination
4/6/2019,P005771017,1600,W,63RD ST,8-4-081(a)     Public Urination
4/6/2019,P005770537,700,W,79TH ST,8-4-081(a)     Public Urination
4/6/2019,P005914651,700,S,STATE ST,8-4-081(a)     Public Urination
4/6/2019,P005811495,6700,S,WESTERN,8-4-081(a)     Public Urination
4/6/2019,P005917132,4400,N,BROADWAY,8-4-081(a)     Public Urination
4/6/2019,P005793453,3300,W,63RD,8-4-081(a)     Public Urination
4/6/2019,P005800238,7200,S,SOUTH CHICAGO,8-4-081(a)     Public Urination
4/6/2019,P005804279,900,W,ADDISON ST,8-4-081(a)     Public Urination
4/6/2019,P005919165,3300,W,55TH ST,8-4-081(a)     Public Urination
4/7/2019,P005450687,200,W,LAKE ST,8-4-081(a)     Public Urination
4/7/2019,P005490159,3600,N,CLARK,8-4-081(a)     Public Urination
4/7/2019,P005488944,2700,N,PINE GROVE,8-4-081(a)     Public Urination
4/7/2019,P005490835,3700,N,BROADWAY,8-4-081(a)     Public Urination
4/7/2019,P005409075,5600,S,PERRY,8-4-081(a)     Public Urination
4/7/2019,P005450521,300,N,PINE,8-4-081(a)     Public Urination
4/7/2019,P005661373,3900,W,JACKSON,8-4-081(a)     Public Urination
4/7/2019,P005661374,3900,W,JACKSON,8-4-081(a)     Public Urination
4/7/2019,P005681772,2000,W,OGDEN,8-4-081(a)     Public Urination
4/7/2019,P005686035,6300,S,VERNON,8-4-081(a)     Public Urination
4/7/2019,P005642587,3600,W,DOUGLAS,8-4-081(a)     Public Urination
4/7/2019,P005670483,10,W,95TH ST,8-4-081(a)     Public Urination
4/7/2019,P005615294,1600,W,LAKE ST,8-4-081(a)     Public Urination
4/7/2019,P005607520,6200,S,CALIFORNIA,8-4-081(a)     Public Urination
4/7/2019,P005743367,10,S,STATE ST,8-4-081(a)     Public Urination
4/7/2019,P005922152,10,W,GRAND,8-4-081(a)     Public Urination
4/7/2019,P005804174,300,S,DEARBORN,8-4-081(a)     Public Urination
4/8/2019,P005138310,800,N,LAMON,8-4-081(a)     Public Urination
4/8/2019,P005138311,5200,W,JACKSON,8-4-081(a)     Public Urination
4/8/2019,P005450723,300,N,LARAMIE,8-4-081(a)     Public Urination
4/8/2019,P005561496,2000,W,51ST,8-4-081(a)     Public Urination
4/8/2019,P005560362,2200,S,ARCHER AVE,8-4-081(a)     Public Urination
4/8/2019,P005692409,3700,N,RACINE,8-4-081(a)     Public Urination
4/8/2019,P005724815,6700,S,RACINE,8-4-081(a)     Public Urination
4/8/2019,P005724816,6800,S,ASHLAND,8-4-081(a)     Public Urination
4/8/2019,P005788435,7500,N,PAULINA,8-4-081(a)     Public Urination
4/8/2019,P005703350,3800,W,ROOSEVELT,8-4-081(a)     Public Urination
4/8/2019,P005725185,200,E,103RD ST,8-4-081(a)     Public Urination
4/8/2019,P005615295,100,N,KEDZIE,8-4-081(a)     Public Urination
4/8/2019,P005804275,900,W,ADDISON,8-4-081(a)     Public Urination
4/8/2019,P005917119,1100,W,ADDISON,8-4-081(a)     Public Urination
4/9/2019,P003903059,1400,W,MORSE,8-4-081(a)     Public Urination
